place_id,place_name,state,description
54,Toranmal,Maharashtra,Hill station in Satpura ranges popular among locals
55,Harishchandragad,Maharashtra,Ancient fort famous for trekking and Konkan Kada
56,Lohagad,Maharashtra,Popular trekking fort near Lonavala
57,Visapur Fort,Maharashtra,Large fort known for monsoon treks and ruins
58,Sinhagad,Maharashtra,Historic fort near Pune with scenic views
59,Rajmachi,Maharashtra,Twin forts popular for night trekking and camping
60,Devkund,Maharashtra,Waterfall trek destination near Bhira village
61,Tamhini Ghat,Maharashtra,Mountain pass famous for monsoon waterfalls
62,Malshej Ghat,Maharashtra,Scenic mountain pass with mist and bird watching
63,Rajapur,Maharashtra,Konkan town famous for Alphonso mangoes
64,Velas,Maharashtra,Beach village known for turtle festival
65,Kashid,Maharashtra,White sand beach destination near Alibaug
66,Nagaon,Maharashtra,Popular beach near Mumbai for water sports
67,Aarey Colony,Maharashtra,Green forest area inside Mumbai city
68,Elephanta Island,Maharashtra,UNESCO heritage site with ancient cave temples
69,Kanheri Caves,Maharashtra,Buddhist caves located in Sanjay Gandhi National Park
70,Sanjay Gandhi National Park,Maharashtra,Urban national park with wildlife and caves
71,Girgaon Chowpatty,Maharashtra,Popular city beach in Mumbai
72,Junnar,Maharashtra,Historic town with ancient caves and forts
73,Bhimashankar Wildlife Sanctuary,Maharashtra,Forest reserve around Bhimashankar temple
74,Rajgad,Maharashtra,Capital fort of Shivaji Maharaj with trekking routes
75,Panhala,Maharashtra,Historic fort near Kolhapur with scenic views
76,Vengurla,Maharashtra,Coastal town with serene beaches and greenery
77,Malvan,Maharashtra,Coastal town famous for beaches and Malvani cuisine
78,Sawantwadi,Maharashtra,Historic town with royal palace and lakes
79,Chikhaldara,Maharashtra,Only hill station in Vidarbha region
80,Paithan,Maharashtra,Ancient town known for Paithani sarees
81,Aurangabad Caves,Maharashtra,Rock cut caves near Aurangabad city
82,Pench National Park,Maharashtra,Wildlife reserve famous for tigers
83,Umred Karhandla,Maharashtra,Tiger reserve near Nagpur
84,Devgad,Maharashtra,Coastal town with fort and beaches
85,Shivneri Fort,Maharashtra,Birthplace of Chhatrapati Shivaji Maharaj
86,Bhandara,Maharashtra,Known for lakes and natural beauty
87,Gondia,Maharashtra,City surrounded by forests and rivers
88,Chandoli National Park,Maharashtra,Wildlife sanctuary in Western Ghats
89,Koyna Wildlife Sanctuary,Maharashtra,Forest reserve with dam and wildlife
90,Kolad,Maharashtra,Adventure destination famous for river rafting
